,lon,lat,common_name,obs_btm_trees,tree_type,entry_source
199,-69.714351,44.514712,"Maple, ",1.0,Ornamental,Citizen Survey
200,-69.67041,44.544561,"Maple, Cherry, ",2.0,Fruiting / Flowering,Citizen Survey
201,-69.658989,44.540383,"Apple, Cherry, ",2.0,Fruiting / Flowering,Citizen Survey
202,-69.649152,44.548888,,0.0,,Citizen Survey
203,-69.669037,44.548877,,0.0,,Citizen Survey
204,-69.639072,44.563043,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
205,-69.636633,44.543193,"Apple, ",1.0,Fruiting / Flowering,Citizen Survey
206,-69.674516,44.550195,,0.0,Fruiting / Flowering,Citizen Survey
207,-69.66183,44.546088,"Oak, Birch, ",2.0,Ornamental,Citizen Survey
208,-69.668389,44.549337,"Oak, Ash, Crabapple, ",3.0,Ornamental,Citizen Survey
209,-69.645203,44.543581,"Oak, Maple, Birch, Apple, ",4.0,Mixed,Citizen Survey
210,-69.635651,44.557638,,0.0,,Citizen Survey
211,-69.637756,44.574578,"Crabapple, ",1.0,,Citizen Survey
212,-69.636521,44.559506,,0.0,,Citizen Survey
213,-69.668583,44.549321,"Oak, Ash, Apple, Crabapple, ",4.0,Mixed,Citizen Survey
214,-69.633289,44.558736,,0.0,,Citizen Survey
215,-69.644682,44.555094,"Oak, ",1.0,Ornamental,Citizen Survey
216,-69.632085,44.562042,,0.0,,Citizen Survey
217,-69.635022,44.544349,,0.0,,Citizen Survey
218,-69.664114,44.538296,,0.0,Mixed,Citizen Survey
219,-69.639209,44.560075,,0.0,,Citizen Survey
220,-69.657731,44.547115,,0.0,,Citizen Survey
221,-69.639883,44.550849,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
222,-69.67736,44.510936,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
223,-69.641568,44.561611,,0.0,,Citizen Survey
224,-69.637193,44.540885,,0.0,,Citizen Survey
225,-69.635739,44.55477,,0.0,,Citizen Survey
226,-69.642751,44.575248,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
227,-69.654463,44.5358,,0.0,,Citizen Survey
228,-69.655159,44.55124,"Oak, Maple, Ash, ",3.0,Ornamental,Citizen Survey
229,-69.633816,44.559679,,0.0,,Citizen Survey
230,-69.646765,44.557887,,0.0,,Citizen Survey
231,-69.639117,44.540127,,0.0,,Citizen Survey
232,-69.661126,44.538431,,0.0,,Citizen Survey
233,-69.650274,44.581206,,0.0,,Citizen Survey
234,-69.640848,44.570596,"Birch, Apple, Crabapple, Serviceberry, ",4.0,Mixed,Citizen Survey
235,-69.656337,44.550765,"Oak, Maple, ",2.0,Ornamental,Citizen Survey
236,-69.644374,44.556239,,0.0,,Citizen Survey
237,-69.64969,44.543475,,0.0,,Citizen Survey
238,-69.657779,44.540192,"Maple, ",1.0,Ornamental,Citizen Survey
239,-69.657586,44.543767,,0.0,,Citizen Survey
240,-69.655425,44.550847,,0.0,,Citizen Survey
241,-69.642683,44.558175,"Oak, ",1.0,Ornamental,Citizen Survey
242,-69.63492,44.546047,,0.0,Ornamental,Citizen Survey
243,-69.693755,44.534766,,0.0,Ornamental,Citizen Survey
244,-69.63015,44.557187,"Crabapple, ",1.0,,Citizen Survey
245,-69.650029,44.554123,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
246,-69.674505,44.549777,"Oak, ",1.0,Ornamental,Citizen Survey
247,-69.642501,44.556389,"Oak, Maple, ",2.0,Ornamental,Citizen Survey
248,-69.638816,44.561528,"Serviceberry, ",1.0,,Citizen Survey
249,-69.658118,44.535126,,0.0,,Citizen Survey
250,-69.641362,44.559779,,0.0,,Citizen Survey
251,-69.65535,44.549821,"Oak, Maple, Crabapple, ",3.0,Mixed,Citizen Survey
252,-69.674461,44.511651,"Apple, Crabapple, Pear, Cherry, Serviceberry, ",5.0,,Citizen Survey
253,-69.657976,44.547677,,0.0,,Citizen Survey
254,-69.65187,44.547027,,0.0,,Citizen Survey
255,-69.663514,44.536972,"Oak, Crabapple, ",2.0,Mixed,Citizen Survey
256,-69.637476,44.554747,,0.0,,Citizen Survey
257,-69.66986,44.52294,,0.0,Fruiting / Flowering,Citizen Survey
258,-69.639981,44.550646,"Birch, ",1.0,Ornamental,Citizen Survey
259,-69.647368,44.542394,,0.0,Ornamental,Citizen Survey
260,-69.644547,44.556499,,0.0,,Citizen Survey
261,-69.660478,44.540163,,0.0,,Citizen Survey
262,-69.653753,44.554778,"Apple, ",1.0,Fruiting / Flowering,Citizen Survey
263,-69.637223,44.546493,,0.0,,Citizen Survey
264,-69.638723,44.562249,,0.0,,Citizen Survey
265,-69.672799,44.554095,"Oak, Maple, Ash, Birch, Apple, Pear, ",6.0,Mixed,Citizen Survey
266,-69.640287,44.550955,,0.0,,Citizen Survey
267,-69.627258,44.566399,,0.0,,Citizen Survey
268,-69.617809,44.554321,"Oak, Maple, ",2.0,Ornamental,Citizen Survey
