,lon,lat,common_name,obs_btm_trees,tree_type,entry_source
240,-69.659131,44.536218,Ash,2.0,Ornamental,Citizen Survey
241,-69.651375,44.554601,,0.0,,Citizen Survey
242,-69.635279,44.551276,,0.0,,Citizen Survey
243,-69.659389,44.54734,Oak,5.0,Ornamental,Citizen Survey
244,-69.659389,44.54734,Maple,5.0,Ornamental,Citizen Survey
245,-69.659389,44.54734,Birch,5.0,Ornamental,Citizen Survey
246,-69.659389,44.54734,Crabapple,5.0,Fruiting / Flowering,Citizen Survey
247,-69.659389,44.54734,Cherry,5.0,Fruiting / Flowering,Citizen Survey
248,-69.63794,44.550486,,0.0,,Citizen Survey
249,-69.64134,44.562643,,0.0,,Citizen Survey
250,-69.641268,44.556081,Cherry,1.0,Fruiting / Flowering,Citizen Survey
251,-69.654447,44.547877,,0.0,,Citizen Survey
252,-69.674377,44.552834,,0.0,,Citizen Survey
253,-69.634901,44.575544,,0.0,,Citizen Survey
254,-69.652952,44.553764,Maple,1.0,Ornamental,Citizen Survey
255,-69.713565,44.513763,,0.0,,Citizen Survey
256,-69.628029,44.564896,,0.0,,Citizen Survey
257,-69.658623,44.535227,,0.0,,Citizen Survey
258,-69.651814,44.548824,,0.0,,Citizen Survey
259,-69.664057,44.543793,Apple,3.0,Fruiting / Flowering,Citizen Survey
260,-69.664057,44.543793,Crabapple,3.0,Fruiting / Flowering,Citizen Survey
261,-69.664057,44.543793,Hawthorn,3.0,Fruiting / Flowering,Citizen Survey
262,-69.668398,44.549403,Oak,5.0,Ornamental,Citizen Survey
263,-69.668398,44.549403,Maple,5.0,Ornamental,Citizen Survey
264,-69.668398,44.549403,Ash,5.0,Ornamental,Citizen Survey
265,-69.668398,44.549403,Birch,5.0,Ornamental,Citizen Survey
266,-69.668398,44.549403,Crabapple,5.0,Fruiting / Flowering,Citizen Survey
267,-69.650917,44.552524,,0.0,,Citizen Survey
268,-69.635747,44.542774,,0.0,,Citizen Survey
269,-69.645608,44.548256,,0.0,,Citizen Survey
270,-69.641892,44.556073,,0.0,,Citizen Survey
271,-69.655127,44.554616,Oak,1.0,Ornamental,Citizen Survey
272,-69.641385,44.572983,,0.0,,Citizen Survey
273,-69.628631,44.529517,,0.0,,Citizen Survey
274,-69.63632,44.554893,Cherry,1.0,Fruiting / Flowering,Citizen Survey
275,-69.638445,44.555269,,0.0,,Citizen Survey
276,-69.637729,44.550798,,0.0,,Citizen Survey
277,-69.655512,44.532841,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
278,-69.645482,44.557979,,0.0,,Citizen Survey
279,-69.659813,44.543642,Oak,1.0,Ornamental,Citizen Survey
280,-69.630627,44.551787,Ash,2.0,Ornamental,Citizen Survey
281,-69.630627,44.551787,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
282,-69.639593,44.555451,Apple,1.0,Fruiting / Flowering,Citizen Survey
283,-69.644782,44.550975,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
284,-69.642801,44.543793,Oak,1.0,Ornamental,Citizen Survey
285,-69.659022,44.545474,Oak,2.0,Ornamental,Citizen Survey
286,-69.659022,44.545474,Apple,2.0,Fruiting / Flowering,Citizen Survey
287,-69.714351,44.514712,Maple,1.0,Ornamental,Citizen Survey
288,-69.67041,44.544561,Maple,2.0,Ornamental,Citizen Survey
289,-69.67041,44.544561,Cherry,2.0,Fruiting / Flowering,Citizen Survey
290,-69.658989,44.540383,Apple,2.0,Fruiting / Flowering,Citizen Survey
291,-69.658989,44.540383,Cherry,2.0,Fruiting / Flowering,Citizen Survey
292,-69.649152,44.548888,,0.0,,Citizen Survey
293,-69.669037,44.548877,,0.0,,Citizen Survey
294,-69.639072,44.563043,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
295,-69.636633,44.543193,Apple,1.0,Fruiting / Flowering,Citizen Survey
296,-69.674516,44.550195,,0.0,,Citizen Survey
297,-69.66183,44.546088,Oak,2.0,Ornamental,Citizen Survey
298,-69.66183,44.546088,Birch,2.0,Ornamental,Citizen Survey
299,-69.668389,44.549337,Oak,3.0,Ornamental,Citizen Survey
300,-69.668389,44.549337,Ash,3.0,Ornamental,Citizen Survey
301,-69.668389,44.549337,Crabapple,3.0,Fruiting / Flowering,Citizen Survey
302,-69.645203,44.543581,Oak,4.0,Ornamental,Citizen Survey
303,-69.645203,44.543581,Maple,4.0,Ornamental,Citizen Survey
304,-69.645203,44.543581,Birch,4.0,Ornamental,Citizen Survey
305,-69.645203,44.543581,Apple,4.0,Fruiting / Flowering,Citizen Survey
306,-69.635651,44.557638,,0.0,,Citizen Survey
307,-69.637756,44.574578,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
308,-69.636521,44.559506,,0.0,,Citizen Survey
309,-69.668583,44.549321,Oak,4.0,Ornamental,Citizen Survey
310,-69.668583,44.549321,Ash,4.0,Ornamental,Citizen Survey
311,-69.668583,44.549321,Apple,4.0,Fruiting / Flowering,Citizen Survey
312,-69.668583,44.549321,Crabapple,4.0,Fruiting / Flowering,Citizen Survey
313,-69.633289,44.558736,,0.0,,Citizen Survey
314,-69.644682,44.555094,Oak,1.0,Ornamental,Citizen Survey
315,-69.632085,44.562042,,0.0,,Citizen Survey
316,-69.635022,44.544349,,0.0,,Citizen Survey
317,-69.664114,44.538296,,0.0,,Citizen Survey
318,-69.639209,44.560075,,0.0,,Citizen Survey
319,-69.657731,44.547115,,0.0,,Citizen Survey
320,-69.639883,44.550849,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
321,-69.67736,44.510936,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
322,-69.641568,44.561611,,0.0,,Citizen Survey
323,-69.637193,44.540885,,0.0,,Citizen Survey
324,-69.635739,44.55477,,0.0,,Citizen Survey
325,-69.642751,44.575248,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
326,-69.654463,44.5358,,0.0,,Citizen Survey
327,-69.655159,44.55124,Oak,3.0,Ornamental,Citizen Survey
328,-69.655159,44.55124,Maple,3.0,Ornamental,Citizen Survey
329,-69.655159,44.55124,Ash,3.0,Ornamental,Citizen Survey
330,-69.633816,44.559679,,0.0,,Citizen Survey
331,-69.646765,44.557887,,0.0,,Citizen Survey
332,-69.639117,44.540127,,0.0,,Citizen Survey
333,-69.661126,44.538431,,0.0,,Citizen Survey
334,-69.650274,44.581206,,0.0,,Citizen Survey
335,-69.640848,44.570596,Birch,4.0,Ornamental,Citizen Survey
336,-69.640848,44.570596,Apple,4.0,Fruiting / Flowering,Citizen Survey
337,-69.640848,44.570596,Crabapple,4.0,Fruiting / Flowering,Citizen Survey
338,-69.640848,44.570596,Serviceberry,4.0,Ornamental,Citizen Survey
339,-69.656337,44.550765,Oak,2.0,Ornamental,Citizen Survey
340,-69.656337,44.550765,Maple,2.0,Ornamental,Citizen Survey
341,-69.644374,44.556239,,0.0,,Citizen Survey
342,-69.64969,44.543475,,0.0,,Citizen Survey
343,-69.657779,44.540192,Maple,1.0,Ornamental,Citizen Survey
344,-69.657586,44.543767,,0.0,,Citizen Survey
345,-69.655425,44.550847,,0.0,,Citizen Survey
346,-69.642683,44.558175,Oak,1.0,Ornamental,Citizen Survey
347,-69.63492,44.546047,,0.0,,Citizen Survey
348,-69.693755,44.534766,,0.0,,Citizen Survey
349,-69.63015,44.557187,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
350,-69.650029,44.554123,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
351,-69.674505,44.549777,Oak,1.0,Ornamental,Citizen Survey
352,-69.642501,44.556389,Oak,2.0,Ornamental,Citizen Survey
353,-69.642501,44.556389,Maple,2.0,Ornamental,Citizen Survey
354,-69.638816,44.561528,Serviceberry,1.0,Ornamental,Citizen Survey
355,-69.658118,44.535126,,0.0,,Citizen Survey
356,-69.641362,44.559779,,0.0,,Citizen Survey
357,-69.65535,44.549821,Oak,3.0,Ornamental,Citizen Survey
358,-69.65535,44.549821,Maple,3.0,Ornamental,Citizen Survey
359,-69.65535,44.549821,Crabapple,3.0,Fruiting / Flowering,Citizen Survey
360,-69.674461,44.511651,Apple,5.0,Fruiting / Flowering,Citizen Survey
361,-69.674461,44.511651,Crabapple,5.0,Fruiting / Flowering,Citizen Survey
362,-69.674461,44.511651,Pear,5.0,Fruiting / Flowering,Citizen Survey
