,lon,lat,common_name,condition_class,obs_btm_nests,tree_type,entry_source
237,-69.63581713,44.54761293,Maple,Good ,2,Fruiting / Flowering,Bartlett
238,-69.64528497,44.56175893,Maple,Good ,2,Fruiting / Flowering,Bartlett
239,-69.64539458,44.56167186,Maple,Good ,2,Fruiting / Flowering,Bartlett
240,-69.63086446,44.56725279,Maple,Poor ,2,Fruiting / Flowering,Bartlett
241,-69.62744377,44.55283141,Maple,Good ,2,Fruiting / Flowering,Bartlett
242,-69.6273906,44.55294809,Maple,Good ,2,Fruiting / Flowering,Bartlett
243,-69.62746233,44.55296135,Maple,Good ,2,Fruiting / Flowering,Bartlett
244,-69.62743727,44.55309552,Maple,Good ,2,Fruiting / Flowering,Bartlett
245,-69.62719854,44.55291042,Oak,Good ,2,Ornamental,Bartlett
246,-69.65590094,44.58044206,Oak,Good ,2,Ornamental,Bartlett
247,-69.66053115,44.53378262,Oak,Fair ,2,Ornamental,Bartlett
248,-69.65588901,44.58049187,Oak,Good ,2,Ornamental,Bartlett
249,-69.65518239,44.58016492,Oak,Good ,2,Ornamental,Bartlett
250,-69.66018735,44.53423968,Oak,Good ,2,Ornamental,Bartlett
251,-69.65527727,44.58044174,Oak,Good ,2,Ornamental,Bartlett
252,-69.65520043,44.58015056,Oak,Good ,2,Ornamental,Bartlett
253,-69.6543411,44.57859909,Oak,Good ,2,Ornamental,Bartlett
254,-69.65451481,44.57905045,Oak,Good ,2,Ornamental,Bartlett
255,-69.63101194,44.56768366,Oak,Good ,2,Ornamental,Bartlett
256,-69.65458121,44.57921965,Oak,Good ,2,Ornamental,Bartlett
257,-69.62778401,44.55094834,Oak,Poor ,2,Ornamental,Bartlett
258,-69.62743392,44.5511538,Oak,Good ,2,Ornamental,Bartlett
259,-69.65900871,44.53403201,Poplar,Fair ,2,Ornamental,Bartlett
260,-69.66074716,44.52720981,Poplar,Fair ,2,Ornamental,Bartlett
261,-69.66046343,44.52706387,Poplar,Good ,2,Ornamental,Bartlett
262,-69.66071334,44.53418194,Poplar,Good ,2,Ornamental,Bartlett
263,-69.66031406,44.52703225,Poplar,Fair ,2,Ornamental,Bartlett
264,-69.64589251,44.56243805,Ash,Fair ,0,Ornamental,Bartlett
265,-69.646085,44.56239003,Ash,Good ,0,Ornamental,Bartlett
266,-69.64594883,44.5624836,Ash,Fair ,0,Ornamental,Bartlett
267,-69.62809589,44.55312133,Ash,Good ,0,Ornamental,Bartlett
268,-69.66212271,44.52864173,Ash,Good ,0,Ornamental,Bartlett
269,-69.66228142,44.52871313,Ash,Good ,0,Ornamental,Bartlett
270,-69.66127985,44.52756641,Ash,Good ,0,Ornamental,Bartlett
271,-69.66212275,44.52862035,Ash,Good ,0,Ornamental,Bartlett
272,-69.66125741,44.52765066,Ash,Good ,0,Ornamental,Bartlett
273,-69.66127555,44.52751999,Ash,Good ,0,Ornamental,Bartlett
274,-69.66036438,44.5335723,Ash,Good ,0,Ornamental,Bartlett
275,-69.66131876,44.52755742,Ash,Good ,0,Ornamental,Bartlett
276,-69.6613195,44.52755911,Ash,Good ,0,Ornamental,Bartlett
277,-69.66091603,44.52730561,Ash,Good ,0,Ornamental,Bartlett
278,-69.63278761,44.54601561,Ash,Fair ,0,Ornamental,Bartlett
279,-69.66224096,44.52869393,Ash,Good ,0,Ornamental,Bartlett
280,-69.64601761,44.56237073,Ash,Good ,0,Ornamental,Bartlett
281,-69.6613353,44.52773077,Ash,Good ,0,Ornamental,Bartlett
282,-69.63287827,44.54607363,Ash,Good ,0,Ornamental,Bartlett
283,-69.66214485,44.52868195,Ash,Good ,0,Ornamental,Bartlett
284,-69.63057267,44.56236789,Ash,Good ,0,Ornamental,Bartlett
285,-69.63049274,44.56249971,Ash,Good ,0,Ornamental,Bartlett
286,-69.65500827,44.57985172,Ash,Good ,0,Ornamental,Bartlett
287,-69.66213098,44.52868401,Ash,Good ,0,Ornamental,Bartlett
288,-69.64499615,44.56214932,Ash,Good ,0,Ornamental,Bartlett
289,-69.66023061,44.53345698,Ash,Fair ,0,Ornamental,Bartlett
290,-69.64793841,44.56468515,Ash,Good ,0,Ornamental,Bartlett
291,-69.64648709,44.56202372,Ash,Good ,0,Ornamental,Bartlett
292,-69.64641177,44.56196783,Ash,Good ,0,Ornamental,Bartlett
