InvID,TreeID,CommonName,ScientName,Condition,Longitude,Latitude,Dbh1,Dbh2,Dbh3,ObservedBT
11474,679,Maple-Red ,Acer rubrum ,Good ,-69.633154500 ,44.550760780 ,30.00 ,0.00 ,0.00 ,2
11474,680,Cherry-Black ,Prunus serotina ,Good ,-69.660205980 ,44.533408320 ,5.00 ,0.00 ,0.00 ,2
11474,681,Birch-Paper ,Betula papyrifera ,Good ,-69.660184350 ,44.533231560 ,3.00 ,0.00 ,0.00 ,1
11474,682,Oak-Northern Red ,Quercus rubra ,Good ,-69.661395110 ,44.527999820 ,13.00 ,0.00 ,0.00 ,7
11474,683,Cherry-Black ,Prunus serotina ,Good ,-69.661420880 ,44.527992450 ,6.00 ,0.00 ,0.00 ,3
11474,684,Elm-American ,Ulmus americana ,Good ,-69.661191480 ,44.527778060 ,5.00 ,0.00 ,0.00 ,6
11474,685,Poplar-Aspen ,Populus tremuloides ,Good ,-69.660617400 ,44.527096230 ,13.00 ,0.00 ,0.00 ,15
11474,686,Crabapple ,Malus sp ,Good ,-69.661134810 ,44.527561730 ,4.00 ,0.00 ,0.00 ,10
11474,687,Ash-White ,Fraxinus americana ,Good ,-69.659221420 ,44.527612120 ,5.00 ,0.00 ,0.00 ,2
11474,700,Oak-Northern Red ,Quercus rubra ,Poor ,-69.656067750 ,44.580589850 ,13.00 ,0.00 ,0.00 ,5
11474,701,Maple-Red ,Acer rubrum ,Poor ,-69.656070100 ,44.580559960 ,10.00 ,0.00 ,0.00 ,5
11474,702,Oak-Northern Red ,Quercus rubra ,Poor ,-69.655910890 ,44.580256120 ,6.00 ,0.00 ,0.00 ,3
11474,703,Oak-Northern Red ,Quercus rubra ,Poor ,-69.656073880 ,44.579978920 ,13.00 ,0.00 ,0.00 ,2
11474,704,Oak-Northern Red ,Quercus rubra ,Poor ,-69.655757450 ,44.579889590 ,11.00 ,0.00 ,0.00 ,1
11474,705,Poplar-Aspen ,Populus tremuloides ,Good ,-69.655555840 ,44.579888330 ,14.00 ,0.00 ,0.00 ,3
11474,706,Poplar-Aspen ,Populus tremuloides ,Good ,-69.655536400 ,44.579863280 ,12.00 ,0.00 ,0.00 ,3
 11474,707,Oak-Northern Red ,Quercus rubra ,Good ,-69.655476940 ,44.579792590 ,24.00 ,0.00 ,0.00 ,6
11474,708,Oak-Northern Red ,Quercus rubra ,Good ,-69.655556940 ,44.579675500 ,16.00 ,0.00 ,0.00 ,8
11474,709,Oak-Northern Red ,Quercus rubra ,Good ,-69.655475010 ,44.579601920 ,9.00 ,0.00 ,0.00 ,1
11474,710,Oak-Northern Red ,Quercus rubra ,Good ,-69.655437360 ,44.579574390 ,12.00 ,0.00 ,0.00 ,3
11474,711,Oak-Northern Red ,Quercus rubra ,Good ,-69.655582640 ,44.579474690 ,16.00 ,0.00 ,0.00 ,4
11474,712,Oak-Northern Red ,Quercus rubra ,Good ,-69.655658450 ,44.579412390 ,8.00 ,0.00 ,0.00 ,3
11474,713,Poplar-Bigtooth Aspen ,Populus grandidentata ,Good ,-69.655471840 ,44.579312190 ,14.00 ,0.00 ,0.00 ,1
11474,714,Oak-Northern Red ,Quercus rubra ,Good ,-69.655499030 ,44.579251440 ,13.00 ,0.00 ,0.00 ,6
11474,715,Oak-Northern Red ,Quercus rubra ,Good ,-69.655140020 ,44.578856860 ,8.00 ,0.00 ,0.00 ,2
11474,716,Oak-Northern Red ,Quercus rubra ,Good ,-69.654865030 ,44.578483130 ,25.00 ,0.00 ,0.00 ,3
11474,717,Oak-Northern Red ,Quercus rubra ,Good ,-69.654844540 ,44.578445150 ,30.00 ,0.00 ,0.00 ,3
11474,718,Oak-Northern Red ,Quercus rubra ,Good ,-69.654666200 ,44.578211640 ,7.00 ,0.00 ,0.00 ,1
11474,719,Oak-Northern Red ,Quercus rubra ,Good ,-69.654517560 ,44.577762020 ,18.00 ,0.00 ,0.00 ,5
11474,720,Oak-Northern Red ,Quercus rubra ,Good ,-69.654202720 ,44.577665110 ,9.00 ,0.00 ,0.00 ,2
11474,721,Oak-Northern Red ,Quercus rubra ,Good ,-69.654003550 ,44.577195620 ,8.00 ,0.00 ,0.00 ,2
11474,722,Oak-Northern Red ,Quercus rubra ,Good ,-69.653983510 ,44.577170610 ,9.00 ,0.00 ,0.00 ,4
11474,723,Oak-Northern Red ,Quercus rubra ,Good ,-69.653906940 ,44.577000290 ,18.00 ,0.00 ,0.00 ,5
11474,724,Oak-Northern Red ,Quercus rubra ,Good ,-69.653986490 ,44.576734960 ,15.00 ,0.00 ,0.00 ,8
11474,725,Oak-Northern Red ,Quercus rubra ,Good ,-69.653853980 ,44.576666940 ,14.00 ,0.00 ,0.00 ,4
11474,726,Oak-Northern Red ,Quercus rubra ,Good ,-69.653544520 ,44.575553540 ,9.00 ,0.00 ,0.00 ,3
11474,727,Oak-Northern Red ,Quercus rubra ,Good ,-69.653753700 ,44.575431450 ,12.00 ,0.00 ,0.00 ,3
11474,728,Oak-Northern Red ,Quercus rubra ,Good ,-69.653613840 ,44.575279580 ,20.00 ,0.00 ,0.00 ,6
11474,729,Oak-Northern Red ,Quercus rubra ,Good ,-69.653510300 ,44.575237330 ,45.00 ,0.00 ,0.00 ,5
11474,730,Oak-Northern Red ,Quercus rubra ,Good ,-69.653630160 ,44.574945280 ,18.00 ,0.00 ,0.00 ,1
11474,731,Oak-Northern Red ,Quercus rubra ,Good ,-69.653589020 ,44.574825400 ,8.00 ,0.00 ,0.00 ,2
11474,732,Oak-Northern Red ,Quercus rubra ,Good ,-69.653620110 ,44.574381730 ,15.00 ,0.00 ,0.00 ,2
11474,733,Oak-Northern Red ,Quercus rubra ,Good ,-69.652688380 ,44.573850000 ,16.00 ,0.00 ,0.00 ,5
11474,734,Oak-Northern Red ,Quercus rubra ,Good ,-69.652763450 ,44.573833550 ,21.00 ,0.00 ,0.00 ,3
11474,735,Oak-Northern Red ,Quercus rubra ,Good ,-69.652837850 ,44.573691640 ,10.00 ,0.00 ,0.00 ,8
11474,736,Oak-Northern Red ,Quercus rubra ,Good ,-69.652778350 ,44.573635040 ,21.00 ,0.00 ,0.00 ,3
11474,737,Oak-Northern Red ,Quercus rubra ,Good ,-69.652718290 ,44.573597520 ,18.00 ,0.00 ,0.00 ,5
